x,y,z,pen,layer
1.30776,1.57483,0,1,0
1.30655,1.57505,0,1,0
1.30538,1.57543,0,1,0
1.30429,1.57593,0,1,0
1.30326,1.57656,0,1,0
1.30233,1.57729,0,1,0
1.30148,1.57814,0,1,0
1.30074,1.57907,0,1,0
1.30012,1.58010,0,1,0
1.29962,1.58119,0,1,0
1.29924,1.58235,0,1,0
1.29901,1.58357,0,1,0
1.29894,1.58484,0,1,0
0.55334,0.64295,0,0,0
0.55342,0.64422,0,1,0
0.55365,0.64543,0,1,0
0.55402,0.64660,0,1,0
0.55452,0.64769,0,1,0
0.55515,0.64871,0,1,0
0.55589,0.64965,0,1,0
0.55673,0.65049,0,1,0
0.55767,0.65123,0,1,0
0.55869,0.65186,0,1,0
0.55979,0.65236,0,1,0
0.56095,0.65273,0,1,0
0.56217,0.65296,0,1,0
0.56344,0.65304,0,1,0
0.56470,0.65296,0,1,0
0.56592,0.65273,0,1,0
0.56708,0.65236,0,1,0
0.56818,0.65186,0,1,0
0.56920,0.65123,0,1,0
0.57014,0.65049,0,1,0
0.57098,0.64965,0,1,0
0.57172,0.64871,0,1,0
0.57235,0.64769,0,1,0
0.57285,0.64660,0,1,0
0.57322,0.64543,0,1,0
0.57345,0.64422,0,1,0
0.57353,0.64295,0,1,0
0.57345,0.64169,0,1,0
0.57322,0.64047,0,1,0
0.57285,0.63930,0,1,0
0.57235,0.63821,0,1,0
0.57172,0.63719,0,1,0
0.57098,0.63625,0,1,0
0.57014,0.63541,0,1,0
0.56920,0.63467,0,1,0
0.56818,0.63404,0,1,0
0.56708,0.63354,0,1,0
0.56592,0.63317,0,1,0
0.56470,0.63294,0,1,0
0.56344,0.63286,0,1,0
0.56217,0.63294,0,1,0
0.56095,0.63317,0,1,0
0.55979,0.63354,0,1,0
0.55869,0.63404,0,1,0
0.55767,0.63467,0,1,0
0.55673,0.63541,0,1,0
0.55589,0.63625,0,1,0
0.55515,0.63719,0,1,0
0.55452,0.63821,0,1,0
0.55402,0.63930,0,1,0
0.55365,0.64047,0,1,0
0.55342,0.64169,0,1,0
0.55334,0.64295,0,1,0
0.57959,0.56222,0,0,0
0.57966,0.56348,0,1,0
0.57989,0.56470,0,1,0
0.58027,0.56586,0,1,0
0.58077,0.56696,0,1,0
0.58139,0.56798,0,1,0
0.58213,0.56892,0,1,0
0.58298,0.56976,0,1,0
0.58391,0.57050,0,1,0
0.58494,0.57113,0,1,0
0.58603,0.57163,0,1,0
0.58719,0.57200,0,1,0
0.58841,0.57223,0,1,0
0.58968,0.57231,0,1,0
0.59094,0.57223,0,1,0
0.59216,0.57200,0,1,0
0.59333,0.57163,0,1,0
0.59442,0.57113,0,1,0
0.59544,0.57050,0,1,0
0.59638,0.56976,0,1,0
0.59722,0.56892,0,1,0
0.59796,0.56798,0,1,0
0.59859,0.56696,0,1,0
0.59909,0.56586,0,1,0
0.59946,0.56470,0,1,0
0.59969,0.56348,0,1,0
0.59977,0.56222,0,1,0
0.59969,0.56095,0,1,0
0.59946,0.55973,0,1,0
0.59909,0.55857,0,1,0
0.59859,0.55747,0,1,0
0.59796,0.55645,0,1,0
0.59722,0.55552,0,1,0
0.59638,0.55467,0,1,0
0.59544,0.55393,0,1,0
0.59442,0.55331,0,1,0
0.59333,0.55281,0,1,0
0.59216,0.55243,0,1,0
0.59094,0.55220,0,1,0
0.58968,0.55213,0,1,0
0.58841,0.55220,0,1,0
0.58719,0.55243,0,1,0
0.58603,0.55281,0,1,0
0.58494,0.55331,0,1,0
0.58391,0.55393,0,1,0
0.58298,0.55467,0,1,0
0.58213,0.55552,0,1,0
0.58139,0.55645,0,1,0
0.58077,0.55747,0,1,0
0.58027,0.55857,0,1,0
0.57989,0.55973,0,1,0
0.57966,0.56095,0,1,0
0.57959,0.56222,0,1,0
0.45696,0.63084,0,0,0
0.45702,0.63179,0,1,0
0.45719,0.63270,0,1,0
0.45747,0.63357,0,1,0
0.45784,0.63439,0,1,0
0.45831,0.63516,0,1,0
0.45887,0.63586,0,1,0
0.45950,0.63649,0,1,0
0.46020,0.63704,0,1,0
0.46096,0.63751,0,1,0
0.46178,0.63789,0,1,0
0.46266,0.63817,0,1,0
0.46357,0.63834,0,1,0
0.46452,0.63840,0,1,0
0.46546,0.63834,0,1,0
0.46638,0.63817,0,1,0
0.46725,0.63789,0,1,0
0.46807,0.63751,0,1,0
0.46883,0.63704,0,1,0
0.46954,0.63649,0,1,0
0.47017,0.63586,0,1,0
0.47072,0.63516,0,1,0
0.47119,0.63439,0,1,0
0.47157,0.63357,0,1,0
0.47184,0.63270,0,1,0
0.47202,0.63179,0,1,0
0.47208,0.63084,0,1,0
0.47202,0.62989,0,1,0
0.47184,0.62898,0,1,0
0.47157,0.62811,0,1,0
0.47119,0.62729,0,1,0
0.47072,0.62652,0,1,0
0.47017,0.62582,0,1,0
0.46954,0.62519,0,1,0
0.46883,0.62464,0,1,0
0.46807,0.62417,0,1,0
0.46725,0.62379,0,1,0
0.46638,0.62351,0,1,0
0.46546,0.62334,0,1,0
0.46452,0.62328,0,1,0
0.46357,0.62334,0,1,0
0.46266,0.62351,0,1,0
0.46178,0.62379,0,1,0
0.46096,0.62417,0,1,0
0.46020,0.62464,0,1,0
0.45950,0.62519,0,1,0
0.45887,0.62582,0,1,0
0.45831,0.62652,0,1,0
0.45784,0.62729,0,1,0
0.45747,0.62811,0,1,0
0.45719,0.62898,0,1,0
0.45702,0.62989,0,1,0
0.45696,0.63084,0,1,0
0.86742,0.47224,0,0,0
0.86747,0.47319,0,1,0
0.86765,0.47411,0,1,0
0.86793,0.47498,0,1,0
0.86830,0.47581,0,1,0
0.86877,0.47657,0,1,0
0.86933,0.47728,0,1,0
0.86996,0.47791,0,1,0
0.87067,0.47847,0,1,0
0.87143,0.47894,0,1,0
0.87226,0.47931,0,1,0
